,Date,Benzene,Toluene,Ethylbenzene,m-Xylene p-Xylene,o-Xylene,Styrene,"1,2,4-Trimethylbenzene",3-Methylpentane,Cyclohexane,Chloroforme,Trichloroethylene,Tetrachloroethylene,"1,4-Dichlorobenzene",Methyl-tert-butyl ether,Acetate de butyle,1-Methoxy-2-propanol,Decamethylcyclopentasiloxane,Diethylphtalate,1S-Alpha-Pinene,Limonene,Composes_doses,COVtot,Campagne_str,Point_mesure,Localite_id
0,15.06-22.06.2022,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,2.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,18.0,10.0,-1000000.0,3.0,-1000000.0,-1000000.0,37.0,760.0,E22,NBA,8
1,15.06-22.06.2022,-1000000,-1000000.0,-1000000.0,1.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,5.0,-1000000.0,4.0,-1000000.0,-1000000.0,10.0,503.0,E22,NHA,8
2,15.06-22.06.2022,-1000000,-1000000.0,-1000000.0,1.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,3.0,-1000000.0,-1000000.0,5.0,380.0,E22,EXT,8
3,15.06-22.06.2022,-1000000,7.0,1.0,6.0,2.0,-1000000.0,-1000000.0,2.0,2.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,60.0,33.0,2.0,2.0,4.0,3.0,123.0,879.0,E22,NBA,18
4,15.06-22.06.2022,-1000000,-1000000.0,1.0,4.0,2.0,-1000000.0,2.0,2.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,9.0,18.0,2.0,2.0,8.0,2.0,53.0,1122.0,E22,NHA,18
5,15.06-22.06.2022,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,35.0,377.0,E22,EXT,18
6,22.06-29.06.2022,-1000000,-1000000.0,1.0,1.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,10.0,7.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,19.0,492.0,E22,NBA,8
7,22.06-29.06.2022,-1000000,-1000000.0,-1000000.0,1.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,5.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,7.0,395.0,E22,NHA,8
8,22.06-29.06.2022,-1000000,-1000000.0,1.0,1.0,1.0,-1000000.0,-1000000.0,3.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,4.0,-1000000.0,-1000000.0,2.0,23.0,34.0,1086.0,E22,EXT,8
9,22.06-29.06.2022,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,61.0,25.0,4.0,-1000000.0,-1000000.0,-1000000.0,93.0,825.0,E22,NBA,18
10,22.06-29.06.2022,-1000000,-1000000.0,1.0,3.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,5.0,15.0,-1000000.0,-1000000.0,4.0,-1000000.0,28.0,881.0,E22,NHA,18
11,22.06-29.06.2022,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,35.0,272.0,E22,EXT,18
12,29.06-06.07.2022,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,10.0,10.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,23.0,555.0,E22,NBA,8
13,29.06-06.07.2022,-1000000,-1000000.0,1.0,1.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,7.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,10.0,396.0,E22,NHA,8
14,29.06-06.07.2022,-1000000,-1000000.0,-1000000.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,1.0,252.0,E22,EXT,8
15,29.06-06.07.2022,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,-1000000.0,2.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,58.0,17.0,5.0,-1000000.0,-1000000.0,-1000000.0,84.0,705.0,E22,NBA,18
16,29.06-06.07.2022,-1000000,-1000000.0,1.0,3.0,1.0,-1000000.0,-1000000.0,2.0,2.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,7.0,12.0,3.0,2.0,4.0,2.0,38.0,979.0,E22,NHA,18
17,29.06-06.07.2022,-1000000,-1000000.0,-1000000.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,1.0,313.0,E22,EXT,18
18,31.08-07.09.2022,-1000000,-1000000.0,1.0,1.74366136427249,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,8.12749472659685,4.38631068717641,-1000000.0,3.04028988537445,2.89844838283034,-1000000.0,21.8221845716596,411.247580765719,E22,NBA,14
19,31.08-07.09.2022,-1000000,-1000000.0,1.92691300565656,4.04738238270322,1.72868337306771,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,3.64891461451823,8.24158715570101,-1000000.0,3.71340701720307,-1000000.0,-1000000.0,23.0,547.0,E22,NHA,14
20,31.08-07.09.2022,-1000000,-1000000.0,-1000000.0,1.25462305720434,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,1.79790569010368,-1000000.0,-1000000.0,4.0,188.0,E22,EXT,14
21,31.08-07.09.2022,-1000000,24.9795395816204,1.62019665227923,4.31639698475195,1.71089825508431,2.5639714307041,3.90737074476795,2.83076252070193,5.3217274455598,-1000000,-1000000,-1000000,-1000000,2.14497551373548,-1000000.0,9.319632965679,-1000000.0,2.79846410211199,-1000000.0,2.31134540216372,64.0,499.0,E22,NHA,6
22,31.08-07.09.2022,-1000000,-1000000.0,1.0,1.1149367114217,1.0,-1000000.0,4.05236788418312,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,9.60271614726358,-1000000.0,3.24318535141732,-1000000.0,-1000000.0,19.0,416.0,E22,NBA,6
23,31.08-07.09.2022,-1000000,-1000000.0,1.0,1.86374962208714,1.0,-1000000.0,1.77582432298086,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,2.81997119132528,-1000000.0,-1000000.0,8.0,393.0,E22,EXT,6
24,07.09-14.09.2022,-1000000,-1000000.0,1.0,2.26589581121788,1.01639152345575,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,3.93898232193767,2.94650944413571,-1000000.0,2.66209182906823,2.47934784787269,-1000000.0,16.0,397.0,E22,NBA,14
25,07.09-14.09.2022,-1000000,-1000000.0,1.82933516690669,3.75929613037433,1.63336746262187,-1000000.0,1.89784483412425,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,1.44686952148979,8.97357643371755,38.4346796991518,-1000000.0,3.1258513292847,-1000000.0,-1000000.0,61.0,459.0,E22,NHA,14
26,07.09-14.09.2022,-1000000,-1000000.0,-1000000.0,1.00373474752094,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,1.86203931369803,-1000000.0,-1000000.0,3.0,136.0,E22,EXT,14
27,07.09-14.09.2022,-1000000,-1000000.0,1.0,1.13283526882437,1.0,-1000000.0,2.87329732464349,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,7.06586178580077,-1000000.0,3.24121967559284,-1000000.0,-1000000.0,15.0,350.0,E22,NBA,6
28,07.09-14.09.2022,-1000000,-1000000.0,1.0,1.21105066166237,1.0,-1000000.0,2.62725584240965,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,10.343170980499,-1000000.0,2.13445784363331,-1000000.0,-1000000.0,17.0,401.0,E22,NHA,6
29,07.09-14.09.2022,-1000000,-1000000.0,-1000000.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,3.39930031113531,-1000000.0,-1000000.0,4.0,153.0,E22,EXT,6
30,14.09-21.09.2022,-1000000,-1000000.0,1.0,1.86430500908317,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,2.84158576549513,1.82306127374291,-1000000.0,2.30791824694809,-1000000.0,10.0,323.0,E22,NBA,14
31,14.09-21.09.2022,-1000000,-1000000.0,1.91339131284238,4.16836723096012,1.72638399331129,-1000000.0,2.30317830830171,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,12.2731744925073,45.4575293613782,-1000000.0,2.76129477222347,-1000000.0,-1000000.0,71.0,446.0,E22,NHA,14
32,14.09-21.09.2022,-1000000,-1000000.0,-1000000.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,1.0,231.0,E22,EXT,14
33,14.09-21.09.2022,-1000000,-1000000.0,-1000000.0,1.05914844593741,1.0,-1000000.0,2.20333851648713,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,5.60604037212388,-1000000.0,-1000000.0,-1000000.0,-1000000.0,9.0,397.0,E22,NHA,6
34,14.09-21.09.2022,-1000000,-1000000.0,1.0,1.03853267244134,1.0,-1000000.0,3.26538315579121,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,6.6615378704893,-1000000.0,2.27818483536837,-1000000.0,2.37035064327714,16.0,347.0,E22,NBA,6
35,14.09-21.09.2022,-1000000,-1000000.0,-1000000.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,1.0,242.0,E22,EXT,6
36,03.11-10.11.2021,-1000000,-1000000.0,1.0,1.0,1.0,-1000000.0,2.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,6.0,7.0,-1000000.0,2.0,-1000000.0,5.0,24.0,362.0,A21,NHA,6
37,03.11-10.11.2021,-1000000,-1000000.0,1.0,1.0,1.0,-1000000.0,2.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,4.0,4.0,3.0,-1000000.0,6.0,21.0,323.0,A21,NBA,6
38,03.11-10.11.2021,-1000000,-1000000.0,-1000000.0,1.0,1.0,-1000000.0,-1000000.0,2.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,3.0,231.0,A21,EXT,6
39,03.11-10.11.2021,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,-1000000.0,2.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,5.0,-1000000.0,-1000000.0,3.0,-1000000.0,-1000000.0,12.0,304.0,A21,NBA,8
40,03.11-10.11.2021,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,-1000000.0,2.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,2.0,-1000000.0,2.0,2.0,-1000000.0,11.0,292.0,A21,NHA,8
41,03.11-10.11.2021,-1000000,-1000000.0,-1000000.0,2.0,1.0,-1000000.0,-1000000.0,2.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,4.0,147.0,A21,EXT,8
42,10.11-17.11.2021,-1000000,-1000000.0,1.0,3.0,1.0,-1000000.0,-1000000.0,3.0,2.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,7.0,5.0,-1000000.0,2.0,-1000000.0,2.0,27.0,281.0,A21,NBA,8
43,10.11-17.11.2021,-1000000,6.0,1.0,3.0,1.0,-1000000.0,-1000000.0,3.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,4.0,3.0,-1000000.0,-1000000.0,3.0,4.0,27.0,320.0,A21,NHA,8
44,10.11-17.11.2021,-1000000,6.0,1.0,3.0,1.0,-1000000.0,-1000000.0,3.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,14.0,205.0,A21,EXT,8
45,10.11-17.11.2021,-1000000,5.0,1.0,2.0,1.0,-1000000.0,2.0,2.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,3.0,5.0,3.0,2.0,2.0,5.0,33.0,347.0,A21,NBA,6
46,15.11-22.12.2021,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,-1000000.0,3.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,,6.0,192.0,A21,EXT,14
47,15.11-22.12.2021,-1000000,-1000000.0,1.0,3.0,1.0,-1000000.0,-1000000.0,2.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,3.0,3.0,8.0,3.0,2.0,,26.0,272.0,A21,NBA,14
48,15.11-22.12.2021,-1000000,6.0,2.0,6.0,2.0,-1000000.0,2.0,4.0,6.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,4.0,3.0,-1000000.0,-1000000.0,5.0,,41.0,591.0,A21,NHA,14
49,15.11-22.12.2021,23,30.0,2.0,8.0,2.0,-1000000.0,-1000000.0,3.0,2.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,33.0,4.0,-1000000.0,6.0,7.0,,121.0,1053.0,A21,NBA,18
50,15.11-22.12.2021,-1000000,7.0,1.0,4.0,1.0,-1000000.0,-1000000.0,3.0,2.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,5.0,5.0,4.0,17.0,6.0,,55.0,706.0,A21,NHA,18
51,15.11-22.12.2021,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,-1000000.0,3.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,,6.0,189.0,A21,EXT,18
52,10.11-17.11.2021,-1000000,-1000000.0,-1000000.0,1.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,3.0,3.0,-1000000.0,-1000000.0,-1000000.0,3.0,10.0,239.0,A21,NHA,6
53,10.11-17.11.2021,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,-1000000.0,2.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,21.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,27.0,234.0,A21,EXT,6
54,17.11-24.11.2021,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,2.0,2.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,4.0,4.0,-1000000.0,14.0,,29.0,284.0,A21,NBA,6
55,17.11-24.11.2021,-1000000,5.0,1.0,2.0,1.0,-1000000.0,2.0,2.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,2.0,4.0,-1000000.0,-1000000.0,9.0,,28.0,306.0,A21,NHA,6
56,17.11-24.11.2021,-1000000,-1000000.0,1.0,1.0,1.0,-1000000.0,-1000000.0,3.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,,5.0,99.0,A21,EXT,6
57,17.11-24.11.2021,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,-1000000.0,3.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,11.0,2.0,-1000000.0,-1000000.0,-1000000.0,,19.0,304.0,A21,NBA,8
58,17.11-24.11.2021,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,-1000000.0,3.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,2.0,-1000000.0,2.0,13.0,,23.0,235.0,A21,NHA,8
59,17.11-24.11.2021,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,-1000000.0,4.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,,7.0,156.0,A21,EXT,8
60,01.11-07.12.2021,-1000000,-1000000.0,1.0,1.0,1.0,-1000000.0,-1000000.0,-1000000.0,2.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,34.0,5.0,-1000000.0,-1000000.0,7.0,14.0,64.0,500.0,A21,NBA,18
61,01.11-07.12.2021,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,4.0,5.0,4.0,3.0,8.0,6.0,33.0,541.0,A21,NHA,18
62,01.11-07.12.2021,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,40.0,174.0,A21,EXT,14
63,01.11-07.12.2021,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,4.0,4.0,3.0,-1000000.0,-1000000.0,15.0,287.0,A21,NBA,14
64,01.11-07.12.2021,-1000000,-1000000.0,1.0,3.0,1.0,-1000000.0,2.0,-1000000.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,3.0,19.0,-1000000.0,4.0,-1000000.0,-1000000.0,34.0,872.0,A21,NHA,14
65,07.11-15.12.2021,-1000000,6.0,1.0,2.0,1.0,-1000000.0,-1000000.0,2.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,34.0,8.0,-1000000.0,2.0,14.0,10.0,80.0,548.0,A21,NBA,18
66,07.11-15.12.2021,-1000000,-1000000.0,1.0,3.0,1.0,-1000000.0,-1000000.0,2.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,7.0,5.0,4.0,2.0,14.0,7.0,45.0,611.0,A21,NHA,18
67,07.11-15.12.2021,-1000000,5.0,1.0,1.0,1.0,-1000000.0,-1000000.0,3.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,10.0,252.0,A21,EXT,18
68,07.11-15.12.2021,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,-1000000.0,3.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,6.0,273.0,A21,EXT,14
69,07.11-15.12.2021,-1000000,-1000000.0,1.0,3.0,1.0,-1000000.0,-1000000.0,3.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,4.0,4.0,5.0,-1000000.0,2.0,2.0,25.0,352.0,A21,NBA,14
70,07.11-15.12.2021,-1000000,-1000000.0,2.0,5.0,2.0,-1000000.0,3.0,3.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,1.0,7.0,-1000000.0,-1000000.0,-1000000.0,2.0,25.0,499.0,A21,NHA,14
71,26.02-02.02.2022,-1000000,-1000000.0,1.0,3.0,1.0,-1000000.0,-1000000.0,3.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,3.0,8.0,,2.0,2.0,23.0,372.0,H22,NBA,14
72,26.02-02.02.2022,-1000000,-1000000.0,2.0,5.0,2.0,-1000000.0,3.0,3.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,3.0,-1000000.0,,-1000000.0,-1000000.0,17.0,417.0,H22,NHA,14
73,26.02-02.02.2022,-1000000,-1000000.0,1.0,2.0,1.0,-1000000.0,-1000000.0,4.0,2.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,-1000000.0,-1000000.0,,-1000000.0,-1000000.0,10.0,223.0,H22,EXT,14
74,26.02-02.02.2022,-1000000,-1000000.0,1.0,1.0,1.0,-1000000.0,-1000000.0,3.0,-1000000.0,-1000000,-1000000,-1000000,-1000000,-1000000.0,-1000000.0,4.0,6.0,,-1000000.0,2.0,17.0,343.0,H22,NBA,6
